Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num AID+	Num AID+: CD20+	Num AID+: CD20+: CD4+	Num AID+: CD4+	Num AID+: Ki67+	Num AID+: Ki67+: CD20+	Num AID+: Ki67+: CD20+: CD4+	Num AID+: Ki67+: CD4+	Num CD20+	Num CD20+: CD4+	Num CD21+	Num CD21+: AID+	Num CD21+: AID+: CD20+	Num CD21+: AID+: CD20+: CD4+	Num CD21+: AID+: CD4+	Num CD21+: AID+: Ki67+	Num CD21+: AID+: Ki67+: CD20+	Num CD21+: AID+: Ki67+: CD20+: CD4+	Num CD21+: AID+: Ki67+: CD4+	Num CD21+: CD20+	Num CD21+: CD20+: CD4+	Num CD21+: CD4+	Num CD21+: Ki67+: CD20+	Num CD4+	Num Ki67+	Num Ki67+: CD20+	Num Ki67+: CD20+: CD4+	Num Ki67+: CD4+	Num PNAd+	Num PNAd+: AID+: CD20+: CD4+	Num PNAd+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD4+	Num PNAd+: CD4+	Area µm^2	Perimeter µm
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	73000cc9-8ae4-4a79-b24f-599f86ff1481	Annotation		LA	Root object (Image)	Geometry	4439.9	10673.8	319	0	0	0	0	0	0	0	0	146	17	0	0	0	0	0	0	0	0	0	1	0	0	0	50	0	1	0	4	0	0	0	0	0	0	0	0	28747.3	2374.7
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	560fd5a9-910e-414b-bcb8-8ece81f76653	Annotation		LA	Root object (Image)	Polygon	12636.8	10796.3	51	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	4131.5	563.89
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	60fa08ac-d23f-4464-adfa-4f5f4a60f8c4	Annotation		LA	Root object (Image)	Polygon	4301.8	10800.4	24	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2223.5	325.63
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	2e52f866-5c7e-461d-81a4-d2e76f69a2e6	Annotation		CD21+	Root object (Image)	Geometry	7041.2	10865	356	1	0	1	0	9	4	0	0	18	2	11	42	108	3	5	38	48	1	0	16	2	3	1	9	9	3	1	0	0	0	0	0	0	0	0	0	32800	984.82
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	2dfc847f-b39d-4b04-9f57-e6b4220413df	Annotation		LA	Root object (Image)	Geometry	7130.7	10937.3	712	0	0	0	0	0	0	0	0	254	60	1	0	0	0	0	0	0	0	0	0	0	0	0	172	8	5	0	5	0	1	2	0	0	0	0	0	64370	4749.4
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	6c9e0535-4409-4bd6-9a94-2f969deb8912	Annotation		LA	Root object (Image)	Polygon	7263.7	11004.1	17	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1545.4	254.15
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	dfdcb3c8-cf25-482f-a5b3-fa9133e6d256	Annotation		LA	Root object (Image)	Geometry	7542.9	11420.5	62	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	2	0	0	0	0	0	0	0	0	6244.6	667.14
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	569d247d-e4af-4b02-a8b1-950cd9a6a6cb	Annotation		LA	Root object (Image)	Polygon	13292.6	11521.7	20	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1718.8	246.2
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	365bf8d7-0a26-4f2b-91d6-2f56b2a1e5a0	Annotation		LA	Root object (Image)	Geometry	13169.3	11542.2	193	0	0	0	0	0	0	0	0	85	6	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3	1	0	2	0	0	0	0	0	0	0	0	17156.9	1453.4
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	6020e80b-55f3-436e-a498-4d3650b1a6cc	Annotation		LA	Root object (Image)	Polygon	12416	11900.8	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1718.8	309.74
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	c99dba09-fa16-4329-93a1-c51990c57c59	Annotation		LA	Root object (Image)	Polygon	12241.1	12016.7	86	0	0	0	0	0	0	0	0	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	7853.1	992.76
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	5af3bb8a-ffee-477d-a8e0-ec426b4e459b	Annotation		CD21+	Root object (Image)	Polygon	7944.6	12736.2	56	0	0	0	0	0	0	0	0	4	0	1	13	26	2	3	0	1	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4383.8	309.74
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	cc5eb123-ba87-4979-b283-74c1e5ddb87f	Annotation		LA	Root object (Image)	Geometry	7924.5	12752.2	117	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	0	0	1	0	0	0	45	0	0	0	3	0	0	0	0	0	0	0	0	11275	1453.4
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	f649d906-2823-4339-a51a-97452bc8863c	Annotation		LA	Root object (Image)	Polygon	11990.1	12883.7	36	0	0	6	0	0	0	0	0	6	3	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3106.5	460.64
